iteration,overall_accuracy,bullish_accuracy,bearish_accuracy,sideways_accuracy,volatile_accuracy,bullish_distance,bearish_distance,sideways_distance,volatile_distance
1,0.6190603207563256,0.3148357859246093,0.5745032728101128,0.8568176920672513,0.7300845322233288,0.0554685686032431,0.04005376970466421,0.06436468657530874,0.04046833680327245
2,0.49343775402818124,0.23930427780394645,0.7880858501237643,0.3693962571619913,0.576964631023023,0.05224559202645321,0.03135232599220235,0.03916316674861299,0.03173830653742163
3,0.4086289958156185,0.7873226989710912,0.0,0.3280266625635054,0.5191666217278775,0.06717263353387426,0.23148123589640926,0.060894631601309944,0.030439132409415957
4,0.5499113734000951,0.8804396452130702,0.3246595340446696,0.28603903378427653,0.7085072805583641,0.06034949890741499,0.15855655764977172,0.058356872748169,0.03897021693791525
5,0.5553020926650396,0.7022732611535706,0.2948223158667863,0.7334360825532954,0.49067671108650607,0.0672760310649326,0.25898841672939743,0.05819088332085406,0.06254587412645939
6,0.5354359754204252,0.7145446027207228,0.24430031451749354,0.9504972462325766,0.23240173821090784,0.06467607962240121,0.15871961356134107,0.0581727240390061,0.03223034319021245
7,0.5545675182399885,0.9040114548426844,0.0,0.48783182733454966,0.8264267907827199,0.05939126172344324,0.25898841672939743,0.058387182329196236,0.04723463204732954
8,0.47346198837739584,0.799347213245967,0.0,0.8444727102934015,0.2500280299702148,0.06438067795798594,0.5165914730229294,0.05951574928500883,0.06625339737074047
9,0.4503947945921542,0.9250657834523511,0.0,0.23135212011668935,0.6451612747995764,0.06327792821746421,0.2572705143334478,0.05801002927979639,0.06627071216041107
10,0.7058140767525515,0.8073862560284573,0.6069339580123131,0.8167104124803934,0.5922256804890422,0.05268010124084959,0.23958468532406532,0.057841506714885596,0.054100665025907824
